ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64
mmu0, tlb_hits, Core0_PTWC, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_misses, Core0_PTWC, Accumulator, 316315500, 0, 0, 0, 0
mmu0, total_waiting, 0, Accumulator, 316315500, 0, 101574, 153678, 77918
mmu0, tlb_hits, Core0_L2, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_misses, Core0_L2, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_hits, Core0_L1, Accumulator, 316315500, 0, 77918, 77918, 77918
mmu0, tlb_misses, Core0_L1, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_hits, Core1_PTWC, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_misses, Core1_PTWC, Accumulator, 316315500, 0, 0, 0, 0
mmu0, total_waiting, 1, Accumulator, 316315500, 0, 25837, 41901, 18374
mmu0, tlb_hits, Core1_L2, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_misses, Core1_L2, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_hits, Core1_L1, Accumulator, 316315500, 0, 18374, 18374, 18374
mmu0, tlb_misses, Core1_L1, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_hits, Core2_PTWC, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_misses, Core2_PTWC, Accumulator, 316315500, 0, 0, 0, 0
mmu0, total_waiting, 2, Accumulator, 316315500, 0, 14786, 24038, 10471
mmu0, tlb_hits, Core2_L2, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_misses, Core2_L2, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_hits, Core2_L1, Accumulator, 316315500, 0, 10471, 10471, 10471
mmu0, tlb_misses, Core2_L1, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_hits, Core3_PTWC, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_misses, Core3_PTWC, Accumulator, 316315500, 0, 0, 0, 0
mmu0, total_waiting, 3, Accumulator, 316315500, 0, 14298, 23240, 10142
mmu0, tlb_hits, Core3_L2, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_misses, Core3_L2, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_hits, Core3_L1, Accumulator, 316315500, 0, 10142, 10142, 10142
mmu0, tlb_misses, Core3_L1, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_hits, Core4_PTWC, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_misses, Core4_PTWC, Accumulator, 316315500, 0, 0, 0, 0
mmu0, total_waiting, 4, Accumulator, 316315500, 0, 13609, 22019, 9681
mmu0, tlb_hits, Core4_L2, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_misses, Core4_L2, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_hits, Core4_L1, Accumulator, 316315500, 0, 9681, 9681, 9681
mmu0, tlb_misses, Core4_L1, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_hits, Core5_PTWC, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_misses, Core5_PTWC, Accumulator, 316315500, 0, 0, 0, 0
mmu0, total_waiting, 5, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_hits, Core5_L2, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_misses, Core5_L2, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_hits, Core5_L1, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_misses, Core5_L1, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_hits, Core6_PTWC, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_misses, Core6_PTWC, Accumulator, 316315500, 0, 0, 0, 0
mmu0, total_waiting, 6, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_hits, Core6_L2, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_misses, Core6_L2, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_hits, Core6_L1, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_misses, Core6_L1, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_hits, Core7_PTWC, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_misses, Core7_PTWC, Accumulator, 316315500, 0, 0, 0, 0
mmu0, total_waiting, 7, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_hits, Core7_L2, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_misses, Core7_L2, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_hits, Core7_L1, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_misses, Core7_L1, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_hits, Core8_PTWC, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_misses, Core8_PTWC, Accumulator, 316315500, 0, 0, 0, 0
mmu0, total_waiting, 8, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_hits, Core8_L2, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_misses, Core8_L2, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_hits, Core8_L1, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_misses, Core8_L1, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_hits, Core9_PTWC, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_misses, Core9_PTWC, Accumulator, 316315500, 0, 0, 0, 0
mmu0, total_waiting, 9, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_hits, Core9_L2, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_misses, Core9_L2, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_hits, Core9_L1, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_misses, Core9_L1, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_hits, Core10_PTWC, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_misses, Core10_PTWC, Accumulator, 316315500, 0, 0, 0, 0
mmu0, total_waiting, 10, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_hits, Core10_L2, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_misses, Core10_L2, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_hits, Core10_L1, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_misses, Core10_L1, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_hits, Core11_PTWC, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_misses, Core11_PTWC, Accumulator, 316315500, 0, 0, 0, 0
mmu0, total_waiting, 11, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_hits, Core11_L2, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_misses, Core11_L2, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_hits, Core11_L1, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_misses, Core11_L1, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_hits, Core12_PTWC, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_misses, Core12_PTWC, Accumulator, 316315500, 0, 0, 0, 0
mmu0, total_waiting, 12, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_hits, Core12_L2, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_misses, Core12_L2, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_hits, Core12_L1, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_misses, Core12_L1, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_hits, Core13_PTWC, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_misses, Core13_PTWC, Accumulator, 316315500, 0, 0, 0, 0
mmu0, total_waiting, 13, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_hits, Core13_L2, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_misses, Core13_L2, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_hits, Core13_L1, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_misses, Core13_L1, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_hits, Core14_PTWC, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_misses, Core14_PTWC, Accumulator, 316315500, 0, 0, 0, 0
mmu0, total_waiting, 14, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_hits, Core14_L2, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_misses, Core14_L2, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_hits, Core14_L1, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_misses, Core14_L1, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_hits, Core15_PTWC, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_misses, Core15_PTWC, Accumulator, 316315500, 0, 0, 0, 0
mmu0, total_waiting, 15, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_hits, Core15_L2, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_misses, Core15_L2, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_hits, Core15_L1, Accumulator, 316315500, 0, 0, 0, 0
mmu0, tlb_misses, Core15_L1, Accumulator, 316315500, 0, 0, 0, 0
a0, tlb_hits, , Accumulator, 316315500, 0, 23327, 23327, 23327
a0, tlb_evicts, , Accumulator, 316315500, 0, 99163, 99163, 99163
a0, tlb_translate_queries, , Accumulator, 316315500, 0, 126702, 126702, 126702
a0, tlb_shootdown, , Accumulator, 316315500, 0, 0, 0, 0
a0, tlb_page_allocs, , Accumulator, 316315500, 0, 116, 116, 116
a0, read_requests, 0, Accumulator, 316315500, 0, 53323, 53323, 53323
a0, write_requests, 0, Accumulator, 316315500, 0, 24571, 24571, 24571
a0, split_read_requests, 0, Accumulator, 316315500, 0, 18, 18, 18
a0, split_write_requests, 0, Accumulator, 316315500, 0, 6, 6, 6
a0, no_ops, 0, Accumulator, 316315500, 0, 143132, 143132, 143132
a0, instruction_count, 0, Accumulator, 316315500, 0, 77345, 77345, 77345
a0, fp_sp_ins, 0, Accumulator, 316315500, 0, 2, 2, 2
a0, fp_dp_ins, 0, Accumulator, 316315500, 0, 4, 4, 4
a0, fp_sp_simd_ins, 0, Accumulator, 316315500, 0, 0, 0, 0
a0, fp_dp_simd_ins, 0, Accumulator, 316315500, 0, 0, 0, 0
a0, fp_sp_scalar_ins, 0, Accumulator, 316315500, 0, 2, 2, 2
a0, fp_dp_scalar_ins, 0, Accumulator, 316315500, 0, 4, 4, 4
a0, fp_sp_ops, 0, Accumulator, 316315500, 0, 2, 2, 2
a0, fp_dp_ops, 0, Accumulator, 316315500, 0, 4, 4, 4
a0, read_requests, 1, Accumulator, 316315500, 0, 11876, 11876, 11876
a0, write_requests, 1, Accumulator, 316315500, 0, 6494, 6494, 6494
a0, split_read_requests, 1, Accumulator, 316315500, 0, 1, 1, 1
a0, split_write_requests, 1, Accumulator, 316315500, 0, 3, 3, 3
a0, no_ops, 1, Accumulator, 316315500, 0, 28144, 28144, 28144
a0, instruction_count, 1, Accumulator, 316315500, 0, 17966, 17966, 17966
a0, fp_sp_ins, 1, Accumulator, 316315500, 0, 0, 0, 0
a0, fp_dp_ins, 1, Accumulator, 316315500, 0, 0, 0, 0
a0, fp_sp_simd_ins, 1, Accumulator, 316315500, 0, 0, 0, 0
a0, fp_dp_simd_ins, 1, Accumulator, 316315500, 0, 0, 0, 0
a0, fp_sp_scalar_ins, 1, Accumulator, 316315500, 0, 0, 0, 0
a0, fp_dp_scalar_ins, 1, Accumulator, 316315500, 0, 0, 0, 0
a0, fp_sp_ops, 1, Accumulator, 316315500, 0, 0, 0, 0
a0, fp_dp_ops, 1, Accumulator, 316315500, 0, 0, 0, 0
a0, read_requests, 2, Accumulator, 316315500, 0, 7128, 7128, 7128
a0, write_requests, 2, Accumulator, 316315500, 0, 3343, 3343, 3343
a0, split_read_requests, 2, Accumulator, 316315500, 0, 0, 0, 0
a0, split_write_requests, 2, Accumulator, 316315500, 0, 0, 0, 0
a0, no_ops, 2, Accumulator, 316315500, 0, 15717, 15717, 15717
a0, instruction_count, 2, Accumulator, 316315500, 0, 10180, 10180, 10180
a0, fp_sp_ins, 2, Accumulator, 316315500, 0, 0, 0, 0
a0, fp_dp_ins, 2, Accumulator, 316315500, 0, 0, 0, 0
a0, fp_sp_simd_ins, 2, Accumulator, 316315500, 0, 0, 0, 0
a0, fp_dp_simd_ins, 2, Accumulator, 316315500, 0, 0, 0, 0
a0, fp_sp_scalar_ins, 2, Accumulator, 316315500, 0, 0, 0, 0
a0, fp_dp_scalar_ins, 2, Accumulator, 316315500, 0, 0, 0, 0
