ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64
mmu0, tlb_hits, Core0_PTWC, Accumulator, 0, 0, 0, 0, 0
mmu0, tlb_misses, Core0_PTWC, Accumulator, 0, 0, 0, 0, 0
mmu0, total_waiting, 0, Accumulator, 0, 0, 374538, 424470, 351677
mmu0, tlb_hits, Core0_L2, Accumulator, 0, 0, 0, 0, 0
mmu0, tlb_misses, Core0_L2, Accumulator, 0, 0, 0, 0, 0
mmu0, tlb_hits, Core0_L1, Accumulator, 0, 0, 351677, 351677, 351677
mmu0, tlb_misses, Core0_L1, Accumulator, 0, 0, 0, 0, 0
mmu0, tlb_hits, Core1_PTWC, Accumulator, 0, 0, 0, 0, 0
mmu0, tlb_misses, Core1_PTWC, Accumulator, 0, 0, 0, 0, 0
mmu0, total_waiting, 1, Accumulator, 0, 0, 34024126, 38894310, 31855299
mmu0, tlb_hits, Core1_L2, Accumulator, 0, 0, 0, 0, 0
mmu0, tlb_misses, Core1_L2, Accumulator, 0, 0, 0, 0, 0
mmu0, tlb_hits, Core1_L1, Accumulator, 0, 0, 31855299, 31855299, 31855299
mmu0, tlb_misses, Core1_L1, Accumulator, 0, 0, 0, 0, 0
mmu0, tlb_hits, Core2_PTWC, Accumulator, 0, 0, 0, 0, 0
mmu0, tlb_misses, Core2_PTWC, Accumulator, 0, 0, 0, 0, 0
mmu0, total_waiting, 2, Accumulator, 0, 0, 34029993, 38937073, 31848064
mmu0, tlb_hits, Core2_L2, Accumulator, 0, 0, 0, 0, 0
mmu0, tlb_misses, Core2_L2, Accumulator, 0, 0, 0, 0, 0
mmu0, tlb_hits, Core2_L1, Accumulator, 0, 0, 31848064, 31848064, 31848064
mmu0, tlb_misses, Core2_L1, Accumulator, 0, 0, 0, 0, 0
mmu0, tlb_hits, Core3_PTWC, Accumulator, 0, 0, 0, 0, 0
mmu0, tlb_misses, Core3_PTWC, Accumulator, 0, 0, 0, 0, 0
mmu0, total_waiting, 3, Accumulator, 0, 0, 34013175, 38896443, 31839216
