write,0,1472
write,2,21120
write,2,23040
write,2,23168
write,2,23232
write,2,23296
write,4,40640
write,4,40896
write,5,45056
write,5,45120
write,5,45184
write,5,45248
write,5,45312
write,6,50304
write,6,50368
write,6,50432
write,6,50496
write,6,50560
write,6,50624
write,6,50688
write,6,50752
write,6,50816
write,6,50880
write,6,50944
write,6,51008
write,6,51072
write,6,51136
write,6,51328
write,6,51392
write,6,51456
write,6,51520
write,6,51584
write,6,51648
write,6,51712
write,6,51776
write,6,51840
write,6,51904
write,6,51968
write,6,52032
write,6,52096
write,6,52160
write,6,52224
write,6,52288
write,6,52352
write,6,52416
write,6,52480
write,6,52544
write,6,52608
write,6,52672
write,6,52736
write,6,52800
write,6,52864
write,6,52928
write,6,56640
write,6,56704
write,6,56768
write,6,56960
write,6,57024
write,6,57088
write,6,57152
write,6,57216
write,6,57280
write,10,86016
write,10,86080
write,10,86144
write,10,86208
write,10,86272
write,10,86336
write,10,86400
write,10,86528
write,10,86592
write,10,86656
write,10,86976
write,10,87104
write,10,87168
write,10,87232
write,10,87552
write,10,87744
write,10,87808
write,10,88128
write,10,88192
write,10,88256
write,10,88320
write,10,88384
write,10,88448
write,10,88512
write,10,88576
write,10,88640
write,10,88704
write,10,88768
write,10,88832
write,10,88896
write,10,88960
write,10,89024
write,10,89088
write,10,89152
write,10,89216
write,10,89280
write,10,89344
write,10,89408
write,10,89472
write,10,89536
write,10,89600
write,10,89664
write,10,89728
write,10,89792
write,10,89856
write,10,89920
write,10,89984
write,10,90048
write,11,90112
write,11,90176
write,11,90240
write,11,90304
write,11,90368
write,11,90432
write,11,90496
write,11,90560
write,11,90624
write,11,90688
write,11,90752
write,11,90816
write,11,90880
write,11,90944
write,11,91008
write,11,91072
write,11,91136
write,11,91200
write,11,91264
write,11,91328
write,11,91392
write,11,91456
write,11,91520
write,11,91584
write,11,91648
write,11,91712
write,11,91776
write,11,91840
write,11,91904
write,11,91968
write,11,92032
write,11,92096
write,11,92160
write,11,92224
write,11,92288
write,11,92352
write,11,92416
write,11,92480
write,11,92544
write,11,92608
write,11,92672
write,11,92736
write,11,92800
write,11,92864
